Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2021-10-17 23:26:57,,UTC-04:00,82,35,102,,,,,,,2021-10-17 23:26:57,2021-10-18 06:29:59,49,15.9,323,423,200,67,56,100,658,132,76,85
2021-10-16 22:13:29,2021-10-17 23:26:57,UTC-04:00,58,37,69,,,16.3,3257,156,64,2021-10-16 22:13:29,2021-10-17 06:26:11,57,16.3,391,490,259,87,45,99,684,134,79,76
2021-10-15 23:10:05,2021-10-16 22:13:29,UTC-04:00,25,36,46,,,19.8,3607,195,70,2021-10-15 23:10:05,2021-10-16 06:29:56,44,15.9,290,439,194,65,31,149,654,117,66,77
2021-10-14 23:51:49,2021-10-15 23:10:05,UTC-04:00,45,38,66,,,17.9,3611,178,70,2021-10-14 23:51:49,2021-10-15 08:00:14,62,16.5,413,488,225,97,91,75,663,115,84,75
2021-10-13 23:00:18,2021-10-14 23:51:49,UTC-04:00,18,37,45,,,19.5,4247,178,73,2021-10-13 23:00:18,2021-10-14 06:50:00,52,16.6,355,470,262,82,11,115,679,139,75,87
2021-10-13 00:56:19,2021-10-13 23:00:18,UTC-04:00,44,37,73,,,18.3,3380,189,70,2021-10-13 00:56:19,2021-10-13 06:39:41,42,16.1,276,343,209,40,27,67,656,112,80,77
2021-10-11 23:00:32,2021-10-13 00:56:19,UTC-04:00,30,38,58,,,18.8,3906,171,69,2021-10-11 23:00:32,2021-10-12 06:41:01,53,16.5,363,460,231,82,50,97,686,132,78,93
2021-10-10 23:20:13,2021-10-11 23:00:32,UTC-04:00,79,36,91,,,20.4,4279,202,74,2021-10-10 23:20:13,2021-10-11 06:49:33,57,15.8,379,449,244,62,73,70,671,135,84,89
2021-10-09 23:25:24,2021-10-10 23:20:13,UTC-04:00,76,36,89,,,17.6,3398,181,68,2021-10-09 23:25:24,2021-10-10 06:49:50,56,16.1,367,444,196,75,96,77,662,110,83,82
2021-10-08 22:41:46,2021-10-09 23:25:24,UTC-04:00,39,35,63,,,20.1,4063,198,72,2021-10-08 22:41:46,2021-10-09 06:29:52,54,15.9,357,468,173,90,94,111,656,123,76,83
2021-10-07 22:53:08,2021-10-08 22:41:46,UTC-04:00,59,36,78,,,17.3,3366,179,69,2021-10-07 22:53:08,2021-10-08 07:30:00,60,15.8,392,516,268,74,50,124,651,110,75,77
2021-10-06 22:01:22,2021-10-07 22:53:08,UTC-04:00,18,36,51,,,18.4,3759,177,70,2021-10-06 22:01:22,2021-10-07 05:56:17,54,16.8,370,475,152,94,124,105,681,129,77,79
2021-10-05 22:18:48,2021-10-06 22:01:22,UTC-04:00,69,35,84,,,20.1,4433,196,74,2021-10-05 22:18:48,2021-10-06 06:25:00,58,15.6,387,486,243,96,48,99,671,120,79,77
2021-10-04 22:35:11,2021-10-05 22:18:48,UTC-04:00,48,36,76,,,20.0,4039,190,71,2021-10-04 22:35:11,2021-10-05 07:01:51,61,16.1,408,496,205,84,119,88,666,112,83,72
2021-10-03 22:32:09,2021-10-04 22:35:11,UTC-04:00,84,35,96,,,20.4,4473,189,74,2021-10-03 22:32:09,2021-10-04 06:29:18,53,15.6,341,476,218,67,56,135,646,127,73,61
2021-10-03 02:13:16,2021-10-03 22:32:09,UTC-04:00,42,36,77,,,15.4,2711,152,68,2021-10-03 02:13:16,2021-10-03 09:01:21,47,15.8,306,408,188,55,63,102,653,104,75,48
2021-10-01 22:43:30,2021-10-03 02:13:16,UTC-04:00,57,36,82,,,19.6,4383,190,67,2021-10-01 22:43:30,2021-10-02 07:40:03,66,15.7,456,537,257,88,111,81,687,138,84,81
2021-09-30 22:58:59,2021-10-01 22:43:30,UTC-04:00,82,36,96,,,19.5,4003,180,70,2021-09-30 22:58:59,2021-10-01 07:05:26,55,16.1,375,486,217,69,89,111,677,129,78,84
2021-09-29 23:37:30,2021-09-30 22:58:59,UTC-04:00,45,37,78,,,19.4,3832,183,71,2021-09-29 23:37:30,2021-09-30 06:12:14,46,16.2,310,395,204,64,42,85,671,117,78,85
2021-09-28 23:09:31,2021-09-29 23:37:30,UTC-04:00,78,36,93,,,20.3,4501,194,75,2021-09-28 23:09:31,2021-09-29 06:30:00,51,16.3,337,440,253,72,12,103,658,107,76,85
2021-09-27 22:20:52,2021-09-28 23:09:31,UTC-04:00,64,37,87,,,19.8,4323,174,74,2021-09-27 22:20:52,2021-09-28 05:59:36,55,16.8,380,458,249,76,55,78,687,132,83,92
2021-09-26 22:21:11,2021-09-27 22:20:52,UTC-04:00,59,36,84,,,20.5,4896,194,76,2021-09-26 22:21:11,2021-09-27 06:16:14,57,15.8,376,475,179,63,134,99,656,123,79,89
